,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country
357,hambantota,6.1241,81.1185,75.2,88,90,11.5,LK
358,elhovo,42.1667,26.5667,46.4,100,90,4.07,BG
359,raga,8.4596,25.678,71.91,31,0,2.39,SS
360,tiarei,-17.5333,-149.3333,80.01,83,40,8.05,PF
361,puerto salgar,5.463,-74.6544,76.69,85,100,0.47,CO
362,sohag,26.557,31.6948,55.4,47,0,11.5,EG
363,henties bay,-22.116,14.2845,66.0,86,100,6.35,NA
364,kununurra,-15.7667,128.7333,82.4,83,75,19.57,AU
365,half moon bay,37.4636,-122.4286,53.6,87,1,9.22,US
366,shetpe,44.1667,52.1167,37.42,90,84,3.29,KZ
367,osmena,10.5208,119.9258,80.71,78,44,25.66,PH
368,havoysund,70.9963,24.6622,26.6,68,40,16.11,NO
369,sao joao da barra,-21.6403,-41.0511,77.32,87,0,17.54,BR
370,meridian,43.6121,-116.3915,37.4,100,1,7.83,US
371,san ramon de la nueva oran,-23.1322,-64.326,70.0,92,100,0.16,AR
372,requena,39.4883,-1.1004,55.0,84,100,1.54,ES
373,severo-kurilsk,50.6789,156.125,11.48,92,100,31.0,RU
374,iskateley,67.6803,53.1512,-0.26,93,93,7.7,RU
375,pinega,64.7001,43.3936,2.71,94,100,5.37,RU
376,mosquera,4.7059,-74.2302,55.33,83,100,2.95,CO
377,hellvik,59.9156,5.781,21.99,72,0,4.0,NO
378,santa lucia,27.9117,-15.5407,63.0,72,20,4.61,ES
379,novikovo,51.1537,37.8879,34.68,96,100,9.66,RU
380,noumea,-22.2763,166.4572,82.99,99,78,10.63,NC
381,cascais,38.6979,-9.4215,55.99,92,100,6.02,PT
382,loiza,18.4313,-65.8802,78.8,73,1,3.44,PR
383,camacha,33.0833,-16.3333,55.4,82,40,13.8,PT
384,naze,28.3667,129.4833,62.6,63,20,6.91,JP
385,ibra,22.6906,58.5334,52.25,85,0,1.54,OM
386,axim,4.8699,-2.2405,79.21,87,0,6.35,GH
387,aksarka,66.5606,67.7975,-5.73,91,90,9.53,RU
388,shakawe,-18.3667,21.85,68.38,95,100,1.63,BW
389,bambanglipuro,-7.95,110.2833,83.32,68,100,3.13,ID
390,sarangani,5.4033,125.4636,82.13,76,95,19.1,PH
391,weiz,47.2167,15.6167,37.4,87,75,2.3,AT
392,bay roberts,47.5999,-53.2648,48.2,100,90,18.41,CA
393,guarapari,-20.6667,-40.4975,78.8,83,20,8.05,BR
394,melville,40.7934,-73.4151,35.6,55,90,11.5,US
395,clyde river,70.4692,-68.5914,-20.2,83,90,5.75,CA
396,porbandar,21.6422,69.6093,62.62,84,63,6.4,IN
397,raul soares,-20.1022,-42.4519,70.95,86,1,4.45,BR
398,fukue,32.6881,128.8419,50.0,76,75,12.66,JP
399,strezhevoy,60.7333,77.5889,10.4,85,90,2.24,RU
400,nelson bay,-32.7167,152.15,84.99,54,0,12.66,AU
401,vitim,59.4511,112.5578,-7.83,89,100,2.95,RU
402,ziarat,30.3823,67.7282,28.18,83,0,3.38,PK
403,alofi,-19.0595,-169.9187,80.6,89,90,9.22,NU
404,tukrah,32.5341,20.5791,57.56,84,8,6.24,LY
405,port hawkesbury,45.6169,-61.3485,42.8,93,90,8.05,CA
406,qaqortoq,60.7167,-46.0333,12.2,57,48,4.61,GL
407,gunjur,13.2019,-16.7339,71.6,68,0,5.75,GM
408,vestmannaeyjar,63.4427,-20.2734,37.47,79,100,31.16,IS
409,pasighat,28.0667,95.3333,65.34,38,76,2.26,IN
410,belaya gora,68.5333,146.4167,-21.91,87,92,3.33,RU
411,kjollefjord,70.9457,27.3465,28.78,94,100,22.01,NO
412,charters towers,-20.1,146.2667,86.09,56,67,10.0,AU
413,gazimurskiy zavod,51.5461,118.3266,-11.97,84,62,2.53,RU
414,petropavlovsk-kamchatskiy,53.0452,158.6483,17.6,41,100,20.13,RU
415,san carlos de bariloche,-41.1456,-71.3082,73.4,35,0,6.91,AR
416,suclayin,15.7568,121.5503,78.44,65,1,4.56,PH
417,bethel,41.3712,-73.414,30.2,69,90,4.61,US
418,goderich,43.7501,-81.7165,15.8,86,0,2.3,CA
419,verkh-usugli,52.7,115.1667,-12.32,85,100,2.15,RU
420,carutapera,-1.195,-46.02,78.4,85,2,7.09,BR
421,micheweni,-4.9667,39.8333,79.54,77,1,5.79,TZ
